day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag10,nonrepeat_cnt_per_user_lag10,match_rate_lag10,trip_cnt_per_user_lag11,nonrepeat_cnt_per_user_lag11,match_rate_lag11,trip_cnt_per_user_lag12,nonrepeat_cnt_per_user_lag12,match_rate_lag12,trip_cnt_per_user_lag13,nonrepeat_cnt_per_user_lag13,match_rate_lag13,trip_cnt_per_user_lag14,nonrepeat_cnt_per_user_lag14,match_rate_lag14,trip_cnt_per_user_lag15,nonrepeat_cnt_per_user_lag15,match_rate_lag15,trip_cnt_per_user_lag16,nonrepeat_cnt_per_user_lag16,match_rate_lag16,trip_cnt_per_user_lag17,nonrepeat_cnt_per_user_lag17,match_rate_lag17,trip_cnt_per_user_lag18,nonrepeat_cnt_per_user_lag18,match_rate_lag18,trip_cnt_per_user_lag19,nonrepeat_cnt_per_user_lag19,match_rate_lag19,trip_cnt_per_user_lag20,nonrepeat_cnt_per_user_lag20,match_rate_lag20,trip_cnt_per_user_lag21,nonrepeat_cnt_per_user_lag21,match_rate_lag21,mgm_day,face_value,face_value_num
2025-08-30,不發,控制組,14天在其他尖峰預估車資,中區,10.0,19.0,0.5882352941176471,1,1.0,645.0,0.0155038759689922,0.0294573643410852,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,1,0,0
2025-08-31,不發,控制組,14天在其他尖峰預估車資,中區,11.0,14.0,0.8461538461538461,1,1.0,645.0,0.0170542635658914,0.0217054263565891,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,1,0,0
2025-09-01,不發,控制組,14天在其他尖峰預估車資,中區,14.0,15.0,1.0,0,1.0,710.0,0.0197183098591549,0.0211267605633802,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-09-02,不發,控制組,14天在其他尖峰預估車資,中區,10.0,11.0,0.8571428571428571,0,0.8571428571428571,710.0,0.0140845070422535,0.0154929577464788,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,1,0,0
2025-09-03,不發,控制組,14天在其他尖峰預估車資,中區,21.0,23.0,0.9545454545454546,0,1.0,710.0,0.0295774647887323,0.0323943661971831,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,,,,0,0,0
2025-09-04,不發,控制組,14天在其他尖峰預估車資,中區,10.0,14.0,0.8125,0,0.7142857142857143,710.0,0.0140845070422535,0.0197183098591549,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,0,0,0
2025-09-05,不發,控制組,14天在其他尖峰預估車資,中區,13.0,18.0,0.7857142857142857,0,0.4285714285714285,710.0,0.0183098591549295,0.0253521126760563,0.0186046511627906,0.0263565891472868,0.7777777777777778,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,0,0,0
2025-09-06,不發,控制組,14天在其他尖峰預估車資,中區,10.0,13.0,0.9166666666666666,1,0.7142857142857143,710.0,0.0140845070422535,0.0183098591549295,0.0232558139534883,0.027906976744186,0.9,0.0186046511627906,0.0263565891472868,0.7777777777777778,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,0,0,0
2025-09-07,不發,控制組,14天在其他尖峰預估車資,中區,11.0,18.0,0.6111111111111112,1,1.0,710.0,0.0154929577464788,0.0253521126760563,0.0263565891472868,0.0263565891472868,1.0,0.0232558139534883,0.027906976744186,0.9,0.0186046511627906,0.0263565891472868,0.7777777777777778,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,0,0,0
2025-09-08,不發,控制組,14天在其他尖峰預估車資,中區,12.0,12.0,1.0,0,1.0,605.0,0.0198347107438016,0.0198347107438016,0.0248062015503875,0.0294573643410852,0.8095238095238095,0.0263565891472868,0.0263565891472868,1.0,0.0232558139534883,0.027906976744186,0.9,0.0186046511627906,0.0263565891472868,0.7777777777777778,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,0,0,0
2025-09-09,不發,控制組,14天在其他尖峰預估車資,中區,9.0,9.0,1.0,0,1.0,605.0,0.0148760330578512,0.0148760330578512,0.0155038759689922,0.0294573643410852,0.5882352941176471,0.0248062015503875,0.0294573643410852,0.8095238095238095,0.0263565891472868,0.0263565891472868,1.0,0.0232558139534883,0.027906976744186,0.9,0.0186046511627906,0.0263565891472868,0.7777777777777778,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0.0162907268170426,0.018796992481203,0.8666666666666667,0,0,0
2025-09-10,不發,控制組,14天在其他尖峰預估車資,中區,10.0,10.0,1.0,0,0.8571428571428571,605.0,0.0165289256198347,0.0165289256198347,0.0170542635658914,0.0217054263565891,0.8461538461538461,0.0155038759689922,0.0294573643410852,0.5882352941176471,0.0248062015503875,0.0294573643410852,0.8095238095238095,0.0263565891472868,0.0263565891472868,1.0,0.0232558139534883,0.027906976744186,0.9,0.0186046511627906,0.0263565891472868,0.7777777777777778,0.0186046511627906,0.0232558139534883,0.7857142857142857,0.018796992481203,0.0200501253132832,0.9375,0.0263157894736842,0.031328320802005,0.88,0.0137844611528822,0.0175438596491228,0.9285714285714286,0.0175438596491228,0.0200501253132832,0.9333333333333332,0.0225563909774436,0.031328320802005,0.72,0,0,0
