day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag2w,nonrepeat_cnt_per_user_lag2w,match_rate_lag2w,trip_cnt_per_user_lag3w,nonrepeat_cnt_per_user_lag3w,match_rate_lag3w,face_value,face_value_num
2025-12-09,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,5.0,1.0,0,0.0,191.0,0.0209424083769633,0.0261780104712041,0.0054347826086956,0.0054347826086956,1.0,0.0158730158730158,0.037037037037037,0.8,15,2
2025-12-10,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,4.0,1.0,0,0.0,191.0,0.0209424083769633,0.0209424083769633,0.0271739130434782,0.0434782608695652,0.75,0.0211640211640211,0.0317460317460317,1.0,15,2
2025-12-11,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,7.0,9.0,0.7777777777777778,0,0.0,191.0,0.0366492146596858,0.0471204188481675,0.0271739130434782,0.0326086956521739,0.8333333333333334,0.0317460317460317,0.0423280423280423,0.8,15,2
2025-12-12,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,8.0,10.0,0.75,0,0.0,191.0,0.0418848167539267,0.0523560209424083,0.0543478260869565,0.0652173913043478,0.8333333333333334,0.0211640211640211,0.037037037037037,0.8333333333333334,15,2
2025-12-13,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,5.0,1.0,1,0.0,191.0,0.0261780104712041,0.0261780104712041,0.0163043478260869,0.0217391304347826,0.75,0.0264550264550264,0.0423280423280423,0.5714285714285714,15,2
2025-12-14,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,6.0,6.0,1.0,1,0.0,191.0,0.031413612565445,0.031413612565445,0.0217391304347826,0.0326086956521739,0.6666666666666666,0.0158730158730158,0.0264550264550264,0.8,15,2
2025-12-15,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,5.0,0.6,0,0.0,190.0,0.0157894736842105,0.0263157894736842,0.027027027027027,0.027027027027027,1.0,0.0054347826086956,0.0054347826086956,1.0,15,2
2025-12-16,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,6.0,0.8333333333333334,0,0.0,190.0,0.0263157894736842,0.031578947368421,0.0,0.0,0.0,0.0054347826086956,0.0054347826086956,1.0,15,2
2025-12-17,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,6.0,0.8333333333333334,0,0.0,190.0,0.0263157894736842,0.031578947368421,0.0162162162162162,0.0162162162162162,1.0,0.0271739130434782,0.0434782608695652,0.75,15,2
2025-12-18,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,3.0,1.0,0,0.0,190.0,0.0157894736842105,0.0157894736842105,0.0108108108108108,0.0108108108108108,1.0,0.0271739130434782,0.0326086956521739,0.8333333333333334,15,2
2025-12-19,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,2.0,4.0,0.75,0,0.0,190.0,0.0105263157894736,0.0210526315789473,0.0216216216216216,0.0378378378378378,0.7142857142857143,0.0543478260869565,0.0652173913043478,0.8333333333333334,15,2
2025-12-20,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,1.0,6.0,0.3333333333333333,1,0.0,190.0,0.0052631578947368,0.031578947368421,0.027027027027027,0.0378378378378378,0.75,0.0163043478260869,0.0217391304347826,0.75,15,2
2025-12-21,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,8.0,9.0,0.8888888888888888,1,0.0,190.0,0.0421052631578947,0.0473684210526315,0.027027027027027,0.0486486486486486,0.75,0.0217391304347826,0.0326086956521739,0.6666666666666666,15,2
2025-12-22,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,6.0,7.0,0.8571428571428571,0,0.0,300.0,0.02,0.0233333333333333,0.0209424083769633,0.031413612565445,0.6,0.027027027027027,0.027027027027027,1.0,15,2
2025-12-23,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,6.0,7.0,0.8571428571428571,0,0.0,300.0,0.02,0.0233333333333333,0.0209424083769633,0.0261780104712041,1.0,0.0,0.0,0.0,15,2
2025-12-24,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,9.0,10.0,0.9090909090909092,0,0.0,300.0,0.03,0.0333333333333333,0.0209424083769633,0.0209424083769633,1.0,0.0162162162162162,0.0162162162162162,1.0,15,2
2025-12-25,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,10.0,14.0,0.7857142857142857,1,0.0,300.0,0.0333333333333333,0.0466666666666666,0.0366492146596858,0.0471204188481675,0.7777777777777778,0.0108108108108108,0.0108108108108108,1.0,15,2
2025-12-26,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,11.0,17.0,0.8235294117647058,0,0.0,300.0,0.0366666666666666,0.0566666666666666,0.0418848167539267,0.0523560209424083,0.75,0.0216216216216216,0.0378378378378378,0.7142857142857143,15,2
